职位,区域,街道,公司,薪资,经验,学历,技能要求,福利
Python/Django工程师,津南区,双港,艾尔康,6-10K,1-3年,本科,Redis 计算机相关专业 后端 Windows 英语读写能力良好 中级软件工程师 数据开发 Linux 服务端开发经验 Django 负载均衡技术 MySQL 容器技术 Python,五险一金
Python开发工程师,西青区,张家窝,中科曙光,15-30K,经验不限,本科,多线程 多进程 Django 大数据,项目奖金 定期体检 节日福利 包吃 带薪年假 加班补助 全勤奖 五险一金 交通补助 员工旅游 通讯补贴 补充医疗保险 免费班车
python工程师,南开区,王顶堤,爱迪科森,10-15K,3-5年,本科,Python PyTorch Elasticsearch Spark 机器学习经验,员工旅游 生日庆典 年终奖 交通补助 五险一金 带薪年假 全勤奖 餐补 节日福利 股票期权
高级Python后端工程师,西青区,中北,联雨科技,14-20K,5-10年,本科,Python Django Numpy Pandas PostgreSQL Redis MySQL Linux开发/部署经验 微服务经验 架构设计经验,餐补 定期体检 五险一金 带薪年假
Python,东丽区,华明,阳光雨露,12-16K,3-5年,本科,Python Django MySQL,年终奖 五险一金 节日福利 定期体检 企业年金 补充医疗保险 带薪年假 餐补
Python软件工程师,东丽区,华明,天津英诺美迪科技,8-12K,1-3年,本科,Python MySQL python,带薪年假 团建聚餐 五险一金 定期体检 年终奖
AI应用工程师,河西区,友谊路,天津柒佳科技有限公司,10-15K,3-5年,本科,Golang Java Prompt Engineering AI Agents LangChain LLM开发工具框架 Python,
自动化测试-双休,东丽区,华明,中软,10-13K,1-3年,本科,Python Selenium 自动化测试经验 计算机相关专业,五险一金 带薪年假
后端开发工程师,和平区,南市,场边文化,8-12K,3-5年,本科,Python Java C++ PHP,定期体检 带薪年假 年终奖 五险一金 员工旅游
自动化测试-双休,东丽区,华明,中软,10-13K,1-3年,本科,Python Selenium 自动化测试经验 计算机相关专业,五险一金 带薪年假
