职位,区域,街道,公司,薪资,经验,学历,技能要求,福利
Python web开发工程师,,,芯帕斯科技,8-13K,3-5年,大专,Python Python工程师 后端开发 WEB开发,五险一金 全勤奖 餐补 交通补助
Python开发工程师,西青区,张家窝,中科曙光,15-30K,经验不限,本科,多线程 多进程 Django 大数据,项目奖金 定期体检 节日福利 包吃 带薪年假 加班补助 全勤奖 五险一金 交通补助 员工旅游 通讯补贴 补充医疗保险 免费班车
Python讲师,西青区,西青大学城,华夏卓越,6-10K,1-3年,本科,Hadoop Python 全栈,
高级Python后端工程师,西青区,中北,联雨科技,14-20K,5-10年,本科,Python Django Numpy Pandas PostgreSQL Redis MySQL Linux开发/部署经验 微服务经验 架构设计经验,餐补 定期体检 五险一金 带薪年假
乐高机器人编程老师,和平区,南市,爱编程icoding,7-12K,1-3年,本科,机器人 python c++ 小颗粒 幼教 wedo spike,五险一金 带薪年假 员工旅游 节日福利 零食下午茶
Python,东丽区,华明,阳光雨露,12-16K,3-5年,本科,Python Django MySQL,年终奖 五险一金 节日福利 定期体检 企业年金 补充医疗保险 带薪年假 餐补
Python软件工程师,东丽区,华明,天津英诺美迪科技,8-12K,1-3年,本科,Python MySQL python,带薪年假 团建聚餐 五险一金 定期体检 年终奖
AI应用工程师,河西区,友谊路,天津柒佳科技有限公司,10-15K,3-5年,本科,Golang Java Prompt Engineering AI Agents LangChain LLM开发工具框架 Python,
实习生,西青区,大学城,南项软件,150-200元/天,,大专,JavaScript HTML CSS,五险一金 20天长假
生物信息分析工程师,红桥区,西沽,源兹生物,10-15K,经验不限,硕士,科研工作经历 Python R语言 转录组 基因组 16s,节日福利 年终奖 带薪年假 零食下午茶 绩效奖金 定期体检 五险一金 底薪加提成
